,Infector,Infectee,Timestamp,Date
352,mnl226,bmv225,2024-09-26 01:17:58,2024-09-26
353,lrb226,rmd226,2024-09-26 17:04:27,2024-09-26
354,rof222,jem311,2024-09-26 19:02:03,2024-09-26
355,lil426,mrw526,2024-09-26 20:25:39,2024-09-26
356,lil426,mgg227,2024-09-26 20:25:46,2024-09-26
357,lil426,rsl227,2024-09-26 20:29:58,2024-09-26
358,lil426,aib227,2024-09-26 20:30:07,2024-09-26
359,lil426,sff227,2024-09-26 20:30:16,2024-09-26
360,lil426,ljp227,2024-09-26 20:30:31,2024-09-26
361,mcs424,koa322,2024-09-26 21:59:55,2024-09-26
362,mcs424,aia223,2024-09-26 22:00:19,2024-09-26
363,mcs424,lic524,2024-09-26 22:01:53,2024-09-26
364,mcs424,chc922,2024-09-26 22:02:14,2024-09-26
365,mcs424,ajd323,2024-09-26 22:02:31,2024-09-26
366,mcs424,edk322,2024-09-26 22:03:19,2024-09-26
367,mcs424,jam923,2024-09-26 22:03:47,2024-09-26
368,mcs424,ofo222,2024-09-26 22:04:06,2024-09-26
369,mcs424,nir323,2024-09-26 22:04:20,2024-09-26
370,mcs424,mat823,2024-09-26 22:04:35,2024-09-26
371,mcs424,ecw323,2024-09-26 22:04:56,2024-09-26
372,lic524,yiwh23,2024-09-26 22:55:00,2024-09-26
373,mnl226,cpm526,2024-09-26 23:11:46,2024-09-26
374,mnl226,dmk209,2024-09-26 23:12:02,2024-09-26
375,mnl226,oah226,2024-09-26 23:12:11,2024-09-26
376,mnl226,eem226,2024-09-26 23:12:23,2024-09-26
377,mnl226,chd326,2024-09-26 23:12:43,2024-09-26
378,mnl226,kje226,2024-09-26 23:15:29,2024-09-26
379,mnl226,ahl226,2024-09-26 23:15:40,2024-09-26
380,rac326,nje225,2024-09-26 23:18:05,2024-09-26
381,jcl326,joc328,2024-09-27 02:45:35,2024-09-27
382,jcl326,raa228,2024-09-27 02:45:45,2024-09-27
383,jcl326,ass426,2024-09-27 02:45:56,2024-09-27
384,jcl326,toc326,2024-09-27 02:46:05,2024-09-27
385,jcl326,vwl226,2024-09-27 02:46:16,2024-09-27
386,jcl326,joc226,2024-09-27 02:46:27,2024-09-27
387,kpb321,mrb416,2024-09-27 14:46:16,2024-09-27
388,kpb321,dlf210,2024-09-27 14:46:24,2024-09-27
389,kpb321,dac208,2024-09-27 14:46:32,2024-09-27
390,kpb321,erw209,2024-09-27 14:46:40,2024-09-27
391,kpb321,emb427,2024-09-27 15:51:17,2024-09-27
392,gms221,pab409,2024-09-27 19:27:12,2024-09-27
393,gms221,dgb3,2024-09-27 19:27:37,2024-09-27
394,gms221,jtf211,2024-09-27 19:28:03,2024-09-27
395,gms221,jmhg94,2024-09-27 19:28:28,2024-09-27
396,gms221,krj3,2024-09-27 19:28:42,2024-09-27
397,gms221,fam321,2024-09-27 19:29:02,2024-09-27
398,gms221,snp208,2024-09-27 19:29:17,2024-09-27
399,gms221,seq213,2024-09-27 19:30:01,2024-09-27
400,gms221,clr323,2024-09-27 19:30:20,2024-09-27
401,gms221,jmr5,2024-09-27 19:30:37,2024-09-27
402,gms221,mts210,2024-09-27 19:32:46,2024-09-27
