,Infector,Infectee,Timestamp,Date,Hour
295,cew226,msf227,2024-09-24T02:53:25.000,2024-09-24,2024-09-24 02
296,cew226,cab327,2024-09-24T02:53:50.000,2024-09-24,2024-09-24 02
297,cew226,kmy227,2024-09-24T02:54:04.000,2024-09-24,2024-09-24 02
298,cew226,rll227,2024-09-24T02:54:20.000,2024-09-24,2024-09-24 02
299,cew226,lln227,2024-09-24T02:54:31.000,2024-09-24,2024-09-24 02
300,cew226,ead327,2024-09-24T02:54:42.000,2024-09-24,2024-09-24 02
301,eng325,arb225,2024-09-24T13:51:14.000,2024-09-24,2024-09-24 13
302,eng325,aen226,2024-09-24T13:51:32.000,2024-09-24,2024-09-24 13
303,djm225,jes425,2024-09-24T13:51:50.000,2024-09-24,2024-09-24 13
304,ahh226,lmt226,2024-09-24T18:31:59.000,2024-09-24,2024-09-24 18
305,lil426,srk225,2024-09-24T18:41:50.000,2024-09-24,2024-09-24 18
306,rof222,avb225,2024-09-24T19:52:06.000,2024-09-24,2024-09-24 19
307,rof222,ckb225,2024-09-24T19:52:24.000,2024-09-24,2024-09-24 19
308,rof222,ath223,2024-09-24T19:52:35.000,2024-09-24,2024-09-24 19
309,rof222,cto225,2024-09-24T19:52:46.000,2024-09-24,2024-09-24 19
310,rof222,hps227,2024-09-24T19:52:57.000,2024-09-24,2024-09-24 19
311,rof222,aev225,2024-09-24T19:53:08.000,2024-09-24,2024-09-24 19
312,lmt226,tjw227,2024-09-24T20:02:07.000,2024-09-24,2024-09-24 20
313,djm225,keg222,2024-09-24T20:15:33.000,2024-09-24,2024-09-24 20
314,rof222,juc422,2024-09-24T20:25:36.000,2024-09-24,2024-09-24 20
315,thm220,faw319,2024-09-24T20:28:58.000,2024-09-24,2024-09-24 20
316,nep225,pag225,2024-09-24T20:31:17.000,2024-09-24,2024-09-24 20
317,pag225,isb325,2024-09-24T20:32:30.000,2024-09-24,2024-09-24 20
318,djm225,rmm226,2024-09-24T20:42:54.000,2024-09-24,2024-09-24 20
319,ahh226,bcr226,2024-09-24T21:50:21.000,2024-09-24,2024-09-24 21
320,ahh226,kyc226,2024-09-24T21:53:27.000,2024-09-24,2024-09-24 21
321,kaw225,jdm225,2024-09-24T22:16:27.000,2024-09-24,2024-09-24 22
322,kaw225,rrl225,2024-09-24T22:16:52.000,2024-09-24,2024-09-24 22
323,kaw225,bwf225,2024-09-24T22:17:49.000,2024-09-24,2024-09-24 22
324,kpb321,crm523,2024-09-24T22:56:20.000,2024-09-24,2024-09-24 22
325,lvg224,ami223,2024-09-24T23:27:13.000,2024-09-24,2024-09-24 23
326,djm225,bcb223,2024-09-25T00:12:29.000,2024-09-25,2024-09-25 00
327,cew226,aht326,2024-09-25T00:23:38.000,2024-09-25,2024-09-25 00
328,cew226,amr726,2024-09-25T00:23:48.000,2024-09-25,2024-09-25 00
329,cew226,dlf226,2024-09-25T00:24:09.000,2024-09-25,2024-09-25 00
330,cew226,bec226,2024-09-25T00:24:19.000,2024-09-25,2024-09-25 00
331,cew226,kac626,2024-09-25T00:24:37.000,2024-09-25,2024-09-25 00
332,cew226,mrl526,2024-09-25T00:24:59.000,2024-09-25,2024-09-25 00
